,HospID,surgyear,total surgery count
6189,542833,2019,595
10800,873980,2010,595
11495,928212,2015,595
1062,182883,2012,594
5512,494729,2012,594
9323,760033,2013,594
9575,782695,2015,593
5248,481297,2018,592
10791,873014,2011,592
10148,824948,2018,591
12225,986954,2015,591
3056,331026,2016,590
9576,782695,2016,590
6535,570819,2015,589
8748,723550,2018,589
9588,782867,2018,589
11078,893168,2018,589
11570,935131,2010,589
12283,993109,2013,589
2898,317338,2018,588
4050,399630,2010,588
6537,570819,2017,588
7444,634952,2014,588
4059,399630,2019,586
9394,766036,2014,586
11449,927399,2019,586
2215,256697,2015,584
2282,262629,2012,584
6693,581525,2013,584
7324,624425,2014,584
9961,811480,2011,584
12270,992708,2010,584
2284,262629,2014,583
1006,181225,2016,582
2913,320330,2013,582
5472,492643,2012,582
6695,581525,2015,582
10802,873980,2012,582
10960,886059,2010,582
4142,404812,2012,581
5685,511006,2015,581
5249,481297,2019,580
12222,986954,2012,580
1808,230043,2018,579
2828,310907,2018,579
9321,760033,2011,579
9472,775049,2012,579
2210,256697,2010,578
2340,269025,2010,578
4458,422520,2018,578
5470,492643,2010,578
5511,494729,2011,578
6799,588246,2019,578
10752,871557,2012,578
5478,492643,2018,577
12025,968951,2015,577
12271,992708,2011,577
7553,640181,2013,576
9278,757628,2018,576
10790,873014,2010,576
3223,344650,2013,575
6063,535164,2013,575
7215,616497,2015,575
226,118752,2016,574
5243,481297,2013,574
6709,581531,2019,574
9395,766036,2015,574
5720,514187,2010,573
6064,535164,2014,573
6065,535164,2015,573
7503,637504,2013,573
10667,863994,2017,573
10937,885125,2017,573
1214,190310,2014,572
1844,233380,2014,572
375,137573,2015,571
1701,221364,2011,571
1703,221364,2013,571
4055,399630,2015,571
6699,581525,2019,571
10911,884166,2011,571
11074,893168,2014,571
11113,897724,2013,571
11201,905484,2011,571
1212,190310,2012,570
7218,616497,2018,569
10612,861281,2012,569
303,128251,2013,568
2072,246422,2012,568
3688,374052,2018,568
4459,422520,2019,568
6186,542833,2016,568
7323,624425,2013,568
10912,884166,2012,568
1673,219387,2013,567
4765,448376,2015,567
5244,481297,2014,567
5474,492643,2014,567
10936,885125,2016,567
4764,448376,2014,566
1561,211018,2011,565
5242,481297,2012,565
7328,624425,2018,565
7734,651562,2014,565
9932,809215,2012,565
11204,905484,2014,565
12111,976598,2011,565
165,113333,2015,564
3684,374052,2014,564
4197,407430,2017,564
5471,492643,2011,564
6697,581525,2017,564
10567,856235,2017,564
10692,865327,2012,564
10757,871557,2017,564
2915,320330,2015,563
3057,331026,2017,563
6690,581525,2010,563
9964,811480,2014,563
10801,873980,2011,563
1639,216902,2019,562
4053,399630,2013,562
287,126632,2017,561
10637,863113,2017,561
3055,331026,2015,560
4106,401839,2016,560
9453,771486,2013,560
4051,399630,2011,559
6067,535164,2017,559
288,126632,2018,558
1069,182883,2019,558
1443,202620,2013,558
1449,202620,2019,558
5301,482259,2011,558
8337,697784,2017,558
8844,730871,2014,558
11771,947246,2011,558
1005,181225,2015,557
2285,262629,2015,557
6564,572677,2014,557
7313,623337,2013,557
8312,696808,2012,557
8742,723550,2012,557
9965,811480,2015,557
6062,535164,2012,556
7556,640181,2016,556
10664,863994,2014,556
10965,886059,2015,556
1404,200363,2014,555
10792,873014,2012,555
12026,968951,2016,555
12282,993109,2012,555
1407,200363,2017,554
3481,359078,2011,553
3683,374052,2013,553
9587,782867,2017,553
10910,884166,2010,553
4762,448376,2012,552
