,SiteID,total,count_First,count_Reop,Complics_First,Complics_Reop,PredMM_First_avg,PredMM_Reoperation_avg,total_year_avg,Year_avg_Firstop,Year_avg_reop,Complics_First_rate,Complics_Reop_rate,observe/expected_First,observe/expected_Reop,log_First,log_Reoperation
113,189535,1200,1115,85.0,711,61.0,11.602645739910319,16.384235294117648,252.1,232.3,19.8,63.76681614349776,71.76470588235294,5.4958858154356305,4.3801071331121735,2.4583520304995297,2.1309661571596528
114,190738,283,268,15.0,79,8.0,18.734067164179105,28.09933333333333,58.9,56.8,2.1,29.47761194029851,53.333333333333336,1.5734763669824905,1.8980284229756343,0.6539555100674077,0.9245015968790241
115,191307,247,225,22.0,116,10.0,12.93777777777778,21.443636363636365,41.333333333333336,39.833333333333336,1.5,51.55555555555556,45.45454545454545,3.9848849192717273,2.1197218924877053,1.9945380607795309,1.0838749956148959
116,191672,680,626,54.0,143,11.0,14.136198083067102,19.837777777777777,142.0,133.1,8.9,22.843450479233226,20.37037037037037,1.6159543283845192,1.0268473918076249,0.6923864238667621,0.0382217868732999
117,191698,689,638,51.0,214,20.0,13.362539184952972,21.61764705882353,264.3,247.9,16.4,33.5423197492163,39.21568627450981,2.5101755949937252,1.8140589569160999,1.3277882889433037,0.8592213442172042
118,192709,2244,2062,182.0,777,69.0,10.987662463627547,14.971648351648353,188.8,176.8,12.0,37.68186226964112,37.91208791208791,3.4294703167647684,2.5322587748271457,1.7779857687050908,1.3404248431878494
119,193100,1761,1675,86.0,556,39.0,10.888979104477599,16.611511627906975,215.1,203.7,11.4,33.19402985074627,45.348837209302324,3.0484060564591156,2.729964510461364,1.608055086762334,1.4488821962315028
120,193460,5302,4864,438.0,1800,197.0,12.04292351973682,16.080388127853876,116.0,110.5,5.5,37.006578947368425,44.97716894977169,3.0728899744916047,2.7970201087288333,1.6195961118390956,1.483890625876701
121,194592,443,422,21.0,180,8.0,10.967582938388611,13.649523809523808,292.4,253.8,38.6,42.65402843601896,38.095238095238095,3.8891001486500554,2.7909572983533355,1.9594363862507687,1.4807600513387134
122,194989,245,236,9.0,71,1.0,8.600084745762711,10.951111111111112,77.1,73.6,3.5,30.08474576271186,11.11111111111111,3.4981917797420206,1.0146103896103895,1.8066093836273405,0.020925838854547896
123,195532,469,445,24.0,193,15.0,10.97285393258426,15.847916666666668,51.42857142857143,47.57142857142857,3.8571428571428568,43.37078651685393,62.5,3.952552980593583,3.9437360326015507,1.982784800806885,1.9795629905592982
124,196554,431,401,30.0,196,14.0,11.996159600997508,14.713333333333331,226.4,203.3,23.1,48.87780548628429,46.666666666666664,4.074454418080599,3.1717263253285006,2.0266068909939547,1.6652682924400772
